main_category,sub_category,raw_product_name,cleaned_product_name,product_url,brand,product_img_link
Eyes,Eyebrows,Major Brow Lamination Gel,Major Brow Lamination Gel,https://www.sephora.sg/products/patrick-ta-major-brow-lamination-gel/v/default,Patrick Ta,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_843628150302-PATRICK_20TA-Major_20Brow_20Lamination_20Gel-Clear_jpg_5754e98bfbeff3580a8bf34fd66030b743161ff6_1634483702.png
Eyes,Eyebrows,Dipbrow Gel Mini,Dipbrow Gel Mini,https://www.sephora.sg/products/anastasia-dipbrow-gel-mini/v/default,Anastasia Beverly Hills,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_689304011167-Anastasia-Beverly-Hills-Dipbrow-Gel-Taupe-2-2-ml_5f85bfa410b77a83417afe58176b2978cf68d6d4_1563438038.png
Eyes,Eyebrows,Arch Sculpting Brow Pencil,Arch Sculpting Brow Pencil,https://www.sephora.sg/products/hourglass-arch-sculpting-brow-pencil/v/default,Hourglass,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_18233_Hourglass_WEB_c54c73405a93c876ba59a6782d130bfdf3f22c56_1523777395.png
Eyes,Eyebrows,Tinted Brow Gel,Tinted Brow Gel,https://www.sephora.sg/products/anastasia-tinted-brow-gel/v/default,Anastasia Beverly Hills,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_689304055338-Anastasia-Tinted-Brow-Gel-Blonde-update_d10fafa9c381c729dd1117d7754be4d66536f7e2_1649958960.png
Eyes,Eyebrows,Eye Brows Styler,Eye Brows Styler,https://www.sephora.sg/products/mac-cosmetics-eye-brows-styler/v/default,MAC Cosmetics,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_773602465651-MAC-Eye-Brows-Styler-Spiked_420cbe725bb6d1cbbc8ea907ea45e5bc8170d8ff_1567135682.png
Eyes,Eyebrows,Sailormoon Hard Formula Brow Pencil Seal Brown (Holiday Limited Edition),Sailormoon Hard Formula Brow Pencil Seal Brown (Holiday Limited Edition),https://www.sephora.sg/products/shu-uemura-sailormoon-hard-formula-brow-pencil-seal-brown-holiday-limited-edition/v/default,Shu Uemura,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_4935421796187-Shu-Uemura-Sailormoon-Hard-Formula-Brow-Pencil-Seal-Brown-Christma_7134966983c03c3635b2f5669545b626355f6719_1665829756.png
Eyes,Eyebrows,Brow Freeze Brow Styling Wax,Brow Freeze Brow Styling Wax,https://www.sephora.sg/products/anastasia-brow-freeze-brow-styling-wax/v/default,Anastasia Beverly Hills,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_689304348423-Anastasia-Beverly-Hills-Brow-Freeze-Brow-Styling-Wax-8-g_9174c7fcd94b03a62976e8373dacb1a9ad746d2f_1607672776.png
Eyes,Eyebrows,Perfect Brow Pencil,Perfect Brow Pencil,https://www.sephora.sg/products/anastasia-brow-pencil/v/default,Anastasia Beverly Hills,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_10381_AnastasiaBeverlyHills_PerfectBrowPencil_Blonde_WEB_1c762477407093b844af9e93a17feb5af58909cf_1523776976.png
Eyes,Eyebrows,Hard Formula Eyebrow Pencil,Hard Formula Eyebrow Pencil,https://www.sephora.sg/products/shu-uemura-hard-formula-eyebrow-pencil/v/default,Shu Uemura,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_4935421013888-shu-uemura-Hard-Formula-Eyebrow-Pencil-Seal-Brown_bf0dc9f7e5e8227e678c96883e25199df6e735f6_1628702348.png
Eyes,Eyebrows,POWmade Brow Pomade,POWmade Brow Pomade,https://www.sephora.sg/products/benefit-cosmetics-powmade-brow-pomade/v/default,Benefit Cosmetics,https://image-optimizer-reg.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/default_1_Product_602004127068-Benefit-Cosmetics-POWmade-Brow-Pomade-2_0d161ff33511963c7c70dccdcb176ab6a3ea55dd_1628702170.png
